f,Re,Im,,,,,,,,,,,,,,,
200,0.75,-1.9000,,,,,,,,,,,,,,,
220,0.73,-1.7500,,,,,,,,,,,,,,,
240,0.71,-1.6000,,,,,,,,,,,,,,,
260,0.69,-1.4500,,,,,,,,,,,,,,,
280,0.67,-1.3000,,,,,,,,,,,,,,,
300,0.65,-1.1500,,,,,,,,,,,,,,,
320,0.652,-1.0500,,,,,,,,,,,,,,,
340,0.654,-0.9500,,,,,,,,,,,,,,,
360,0.656,-0.8500,,,,,,,,,,,,,,,
380,0.658,-0.7500,,,,,,,,,,,,,,,0.012
400,0.66,-0.6500,,,,,,,,,,,,,,,
420,0.672,-0.5800,,,,,,,,,,,,,,,
440,0.684,-0.5100,,,,,,,,,,,,,,,
460,0.696,-0.4400,,,,,,,,,,,,,,,
480,0.708,-0.3700,,,,,,,,,,,,,,,
500,0.72,-0.3000,,,,,,,,,,,,,,,
520,0.74,-0.2400,,,,,,,,,,,,,,,
540,0.76,-0.1800,,,,,,,,,,,,,,,
560,0.78,-0.1200,,,,,,,,,,,,,,,
580,0.8,-0.0600,,,,,,,,,,,,,,,
600,0.82,0.0000,,,,,,,,,,,,,,,
620,0.846,0.0400,,,,,,,,,,,,,,,
640,0.872,0.0800,,,,,,,,,,,,,,,
660,0.898,0.1200,,,,,,,,,,,,,,,
680,0.924,0.1600,,,,,,,,,,,,,,,
700,0.95,0.2000,,,,,,,,,,,,,,,
720,1,0.2400,,,,,,,,,,,,,,,
740,1.05,0.2800,,,,,,,,,,,,,,,
760,1.1,0.3200,,,,,,,,,,,,,,,
780,1.15,0.3600,,,,,,,,,,,,,,,
800,1.2,0.4000,,,,,,,,,,,,,,,
820,1.26,0.4200,,,,,,,,,,,,,,,
840,1.32,0.4400,,,,,,,,,,,,,,,
860,1.38,0.4600,,,,,,,,,,,,,,,
880,1.44,0.4800,,,,,,,,,,,,,,,
900,1.5,0.5000,,,,,,,,,,,,,,,
920,1.58,0.4900,,,,,,,,,,,,,,,
940,1.66,0.4800,,,,,,,,,,,,,,,
960,1.74,0.4700,,,,,,,,,,,,,,,
980,1.82,0.4600,,,,,,,,,,,,,,,
1000,1.9,0.4500,,,,,,,,,,,,,,,
1020,1.97,0.3800,,,,,,,,,,,,,,,
1040,2.04,0.3100,,,,,,,,,,,,,,,
1060,2.11,0.2400,,,,,,,,,,,,,,,
1080,2.18,0.1700,,,,,,,,,,,,,,,
1100,2.25,0.1000,,,,,,,,,,,,,,,
1120,2.27,0.0100,,,,,,,,,,,,,,,
1140,2.29,-0.0800,,,,,,,,,,,,,,,
1160,2.3,-0.1700,,,,,,,,,,,,,,,
1180,2.275,-0.2600,,,,,,,,,,,,,,,
1200,2.25,-0.3500,,,,,,,,,,,,,,,
1220,2.19,-0.4200,,,,,,,,,,,,,,,
1240,2.13,-0.4900,,,,,,,,,,,,,,,
1260,2.07,-0.5600,,,,,,,,,,,,,,,
1280,2.01,-0.6300,,,,,,,,,,,,,,,
1300,1.95,-0.7000,,,,,,,,,,,,,,,
1320,1.88,-0.7100,,,,,,,,,,,,,,,
1340,1.81,-0.7200,,,,,,,,,,,,,,,
1360,1.74,-0.7300,,,,,,,,,,,,,,,
1380,1.67,-0.7400,,,,,,,,,,,,,,,
1400,1.6,-0.7500,,,,,,,,,,,,,,,
1420,1.55,-0.7400,,,,,,,,,,,,,,,
1440,1.5,-0.7300,,,,,,,,,,,,,,,
1460,1.45,-0.7200,,,,,,,,,,,,,,,
1480,1.4,-0.7100,,,,,,,,,,,,,,,
1500,1.35,-0.7000,,,,,,,,,,,,,,,
1520,1.3,-0.6700,,,,,,,,,,,,,,,
1540,1.25,-0.6400,,,,,,,,,,,,,,,
1560,1.2,-0.6100,,,,,,,,,,,,,,,
1580,1.15,-0.5800,,,,,,,,,,,,,,,
1600,1.1,-0.5500,,,,,,,,,,,,,,,
